location,total_vaccinations,people_fully_vaccinated,daily_vaccinations,date
Curacao,189909.0,90664.0,3452.0,2021-03-29
Cyprus,1193859.0,564181.0,12513.0,2021-01-06
Czechia,11907065.0,6026712.0,98146.0,2020-12-27
Democratic Republic of Congo,140254.0,37644.0,2328.0,2021-04-18
Denmark,8813691.0,4394501.0,89141.0,2020-12-01
Djibouti,92097.0,26087.0,3108.0,2021-04-17
Dominica,48830.0,22024.0,901.0,2021-02-11
Dominican Republic,12434612.0,5071130.0,184208.0,2021-02-15
Ecuador,21254562.0,10010755.0,354692.0,2021-01-20
Egypt,20154366.0,6602177.0,399325.0,2021-01-24
El Salvador,8096778.0,3588788.0,72435.0,2021-02-17
England,79361712.0,37798020.0,515433.0,2020-12-08
Equatorial Guinea,414506.0,178461.0,5013.0,2021-03-16
Estonia,1398698.0,726566.0,10162.0,2020-12-27
Eswatini,266056.0,225042.0,11049.0,2021-03-30
Ethiopia,3955493.0,936927.0,77545.0,2021-04-08
Europe,826044279.0,403461745.0,5126839.0,2020-12-01
European Union,579391696.0,286752099.0,4074433.0,2020-12-01
Faeroe Islands,75867.0,36977.0,1001.0,2021-01-29
Falkland Islands,4407.0,1775.0,189.0,2021-02-07
Fiji,1090963.0,496091.0,14274.0,2021-03-17
Finland,7884935.0,3703598.0,63726.0,2020-12-31
France,96920975.0,45303504.0,695698.0,2020-12-27
French Polynesia,298182.0,144124.0,3216.0,2021-02-02
Gabon,206373.0,86340.0,2858.0,2021-03-22
Gambia,208379.0,171987.0,3615.0,2021-03-09
Georgia,1899938.0,892410.0,29680.0,2021-03-14
Germany,109892041.0,54658274.0,874901.0,2020-12-27
Ghana,2189552.0,820037.0,54335.0,2021-03-01
Gibraltar,81966.0,39751.0,1068.0,2021-01-10
Greece,12393460.0,6301143.0,98767.0,2020-12-28
Greenland,76637.0,36622.0,1128.0,2021-01-27
Grenada,62095.0,26333.0,579.0,2021-02-11
Guatemala,8010612.0,2975730.0,96711.0,2021-02-25
Guernsey,102340.0,13618.0,817.0,2021-01-24
Guinea,2010423.0,655258.0,41116.0,2021-03-19
Guinea-Bissau,120641.0,9513.0,2228.0,2021-05-12
Guyana,596526.0,226649.0,5226.0,2021-02-11
Haiti,96073.0,27035.0,2968.0,2021-07-16
High income,1613117693.0,758185461.0,8758537.0,2020-12-01
